Recording	Participant	Czy_kolejarz	Czy_maszynista	Czy_pasjonat_kolei	Czy_używał_symulatorów_w_pracy	Płeć	Wiek	Wykształcenie	Zaawansowanie_w_grach	Zaawansowanie_w_grach_symulacyjnych	Timeline	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_size
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	55	39130	39263	133			0.47809	0.45785	3.41609
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	56	39530	39680	150			0.34312	1.58777	3.2063
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	57	39696	39813	117			0.35024	1.55586	3.29866
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	58	39896	40046	150			0.50732	0.5122	3.43053
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	59	40063	40213	150			0.49144	0.4473	3.40449
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	60	40263	40812	550			0.62508	0.59619	3.41201
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Partial	61	40896	41112	217			0.33119	1.56547	3.50242
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	62	42009	42126	117			0.49551	0.58409	3.2466
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	63	42159	42226	67			0.46028	0.66083	3.34853
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	64	42276	42509	233			0.50192	0.46084	3.48242
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	65	42526	42842	316			0.48368	0.45612	3.46555
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	66	42859	43075	217			0.51062	0.45225	3.44535
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	67	43092	43708	616			0.48134	0.45764	3.41993
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	68	43725	43875	150			0.50754	0.4781	3.37655
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	69	43925	44008	83			0.60311	0.37895	3.28876
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	70	44125	44258	133			0.72557	0.26183	3.2362
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	71	44308	44508	200			0.86538	0.12805	3.16084
